questionnumber,query,response
1,What are the most popular movies (IMDb rating > 8) from the 1990s and who directed them?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)-[:IN_GENRE]->(g:Genre) WHERE m.released_year >= 1990 AND m.released_year < 2000 AND m.imdb_rating > 8 RETURN d.name AS Director, m.title AS Movie, m.imdb_rating AS IMDb_Rating"
2,List all action and drama movies with a runtime between 120 and 180 minutes sorted by IMDb rating,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) WHERE m.runtime >= 120 AND m.runtime <= 180 RETURN m.title, m.imdb_rating ORDER BY m.imdb_rating DESC"
3,Find movies where Brad Pitt and Christopher Nolan collaborated,"MATCH (a:Actor {name: 'Brad Pitt'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'Christopher Nolan'}) RETURN m"
4,Find all movies starring both Leonardo DiCaprio and Christopher Nolan,"MATCH (a:Actor {name: 'Leonardo DiCaprio'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'Christopher Nolan'}) RETURN m"
5,List all fantasy movies directed by Peter Jackson with an IMDb rating greater than 7,"MATCH (d:Director {name: 'Peter Jackson'})-[:DIRECTED]->(m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Fantasy'}) WHERE m.imdb_rating > 7 RETURN m"
6,Find all movies with more than 500,000 votes and an IMDb rating below 6.5, and list their directors,"MATCH (m:Movie)-[:ACTED_IN]->(a:Actor)-[:DIRECTED]->(d:Director) WHERE m.no_of_votes > 500000 AND m.imdb_rating < 6.5 RETURN d.name AS DirectorName"
7,What are the genres Robert De Niro has acted in most frequently?,"MATCH (a:Actor {name: 'Robert De Niro'})-[:ACTED_IN]->(m:Movie)-[:IN_GENRE]->(g:Genre) RETURN g.name AS Genre, COUNT(m) AS Frequency ORDER BY Frequency DESC"
8,Find all movies released between 2005 and 2015,"MATCH (m:Movie) WHERE m.released_year >= 2005 AND m.released_year <= 2015 RETURN m"
9,List all action and thriller movies with a runtime less than 100 minutes,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'})-[:IN_GENRE]->(g2:Genre {name: 'Thriller'}) WHERE m.runtime < 100 RETURN m.title, m.imdb_rating"
10,Find all movies directed by Martin Scorsese,"MATCH (d:Director {name: 'Martin Scorsese'})-[:DIRECTED]->(m:Movie) RETURN m"
11,What are the most popular comedy movies with an IMDb rating above 7?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Comedy'}) WHERE m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
12,Find movies where Tom Hanks and Steven Spielberg collaborated,"MATCH (a:Actor {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'Steven Spielberg'}) RETURN m"
13,List all horror movies from 1980 to 1990,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Horror'}) WHERE m.released_year >= 1980 AND m.released_year <= 1990 RETURN m.title, m.released_year"
14,Find the highest-rated movies (IMDb rating > 8) directed by Stanley Kubrick,"MATCH (d:Director {name: 'Stanley Kubrick'})-[:DIRECTED]->(m:Movie) WHERE m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
15,Find all movies featuring both Will Smith and Martin Lawrence,"MATCH (a1:Actor {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Martin Lawrence'}) RETURN m"
16,Find all movies with an IMDb rating above 9 from the 2000s,"MATCH (m:Movie) WHERE m.released_year >= 2000 AND m.released_year < 2010 AND m.imdb_rating > 9 RETURN m.title, m.imdb_rating"
17,What are the most popular animated movies with an IMDb rating above 8?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Animation'}) WHERE m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
18,Find movies where Robert Downey Jr. and Chris Hemsworth collaborated,"MATCH (a1:Actor {name: 'Robert Downey Jr.'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Chris Hemsworth'}) RETURN m"
19,List all biographical movies with a runtime between 100 and 160 minutes,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Biography'}) WHERE m.runtime >= 100 AND m.runtime <= 160 RETURN m.title, m.runtime"
20,Find all sci-fi movies with an IMDb rating above 8 from the 1990s,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Sci-Fi'}) WHERE m.released_year >= 1990 AND m.released_year < 2000 AND m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
21,Find all movies directed by Ridley Scott in the 2000s,"MATCH (d:Director {name: 'Ridley Scott'})-[:DIRECTED]->(m:Movie) WHERE m.released_year >= 2000 AND m.released_year < 2010 RETURN m"
22,What are the top-rated adventure movies from 1990 to 2000?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Adventure'}) WHERE m.released_year >= 1990 AND m.released_year < 2000 AND m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
23,Find movies where Julia Roberts and Hugh Grant collaborated,"MATCH (a1:Actor {name: 'Julia Roberts'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Hugh Grant'}) RETURN m"
24,What are the highest-grossing movies of the 1990s with an IMDb rating above 8?,"MATCH (m:Movie) WHERE m.released_year >= 1990 AND m.released_year < 2000 AND m.imdb_rating > 8 AND m.box_office > 1000000000 RETURN m.title, m.imdb_rating"
25,Find all movies directed by Quentin Tarantino,"MATCH (d:Director {name: 'Quentin Tarantino'})-[:DIRECTED]->(m:Movie) RETURN m"
26,Find the most popular movies (IMDb rating > 8) in the action genre from the 2000s,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) WHERE m.released_year >= 2000 AND m.released_year < 2010 AND m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
27,What are the most popular romantic movies with an IMDb rating above 7?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Romance'}) WHERE m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
28,Find movies where Matt Damon and Ben Affleck collaborated,"MATCH (a1:Actor {name: 'Matt Damon'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Ben Affleck'}) RETURN m"
